"2004,City,NJ,New Jersey,2004-05-13,,,0,,,Unknown,Not Specified,1,Destruction/Damage/Vandalism of Property,0.0,School/College,Anti-Black or African American,Other,S,S
2009,Other,MI,Michigan,2009-04-11,0.0,0.0,1,1.0,0.0,Black or African American,Not Hispanic or Latino,1,Simple Assault,1.0,Public Building,Anti-Black or African American,Individual,S,S
1992,City,UT,Utah,1992-05-08,0.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Simple Assault,1.0,Public Park or Playground,Anti-White,Individual,S,S
2012,City,GA,Georgia,2012-06-04,0.0,0.0,2,1.0,1.0,Hispanic or Latino,Not Hispanic or Latino,1,Intimidation,1.0,Private Residence,Anti-Hispanic or Latino,Individual,S,S
2008,City,IA,Iowa,2008-07-14,1.0,0.0,1,1.0,0.0,Black or African American,Not Hispanic or Latino,1,Simple Assault,1.0,Public Building,Anti-Black or African American,Individual,S,S
1995,Other,DE,Delaware,1995-02-08,0.0,0.0,2,1.0,1.0,Asian,Not Hispanic or Latino,1,Intimidation,1.0,Private Residence,Anti-Asian,Individual,S,S
1993,City,CO,Colorado,1993-09-22,1.0,0.0,1,1.0,0.0,Black or African American,Not Hispanic or Latino,1,Simple Assault,1.0,Public Park or Playground,Anti-Black or African American,Individual,S,S
2006,Other,MO,Missouri,2006-01-21,0.0,0.0,1,1.0,0.0,Native American or Alaska Native,Not Hispanic or Latino,1,Simple Assault,1.0,Public Building,Anti-Native American or Alaska Native,Individual,S,S
1998,City,TX,Texas,1998-05-25,1.0,0.0,1,1.0,0.0,Asian,Not Hispanic or Latino,1,Simple Assault,1.0,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
1997,Other,MS,Mississippi,1997-11-01,0.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Simple Assault,1.0,Public Building,Anti-White,Individual,S,S
2003,City,ID,Idaho,2003-10-01,0.0,0.0,1,1.0,0.0,Black or African American,Not Hispanic or Latino,1,Simple Assault,1.0,Public Building,Anti-Black or African American,Individual,S,S
1988,Other,HI,Hawaii,1988-03-01,1.0,0.0,1,1.0,0.0,Hispanic or Latino,Not Hispanic or Latino,1,Simple Assault,1.0,Public Park or Playground,Anti-Hispanic or Latino,Individual,S,S
2013,Other,VT,Vermont,2013-01-01,0.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Simple Assault,1.0,Public Building,Anti-White,Individual,S,S
1991,City,IN,Indiana,1991-06-22,0.0,0.0,1,1.0,0.0,Native American or Alaska Native,Not Hispanic or Latino,1,Simple Assault,1.0,Public Building,Anti-Native American or Alaska Native,Individual,S,S
2004,City,WI,Wisconsin,2004-08-27,1.0,0.0,1,1.0,0.0,Asian,Not Hispanic or Latino,1,Simple Assault,1.0,Public Building,Anti-Asian,Individual,S,S
1994,Other,CT,Connecticut,1994-09-18,0.0,0.0,1,1.0,0.0,Black or African American,Not Hispanic or Latino,1,Simple Assault,1.0,Public Building,Anti-Black or African American,Individual,S,S
1986,Other,NE,Nebraska,1986-02-28,1.0,0.0,1,1.0,0.0,White,Not Hispanic or Latino,1,Simple Assault,1.0,Public Park or Playground,Anti-White,Individual,S,S"
