2024,99999,CT,9150.0,9150708100.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,File closed for incompleteness,32,25000.0,,,,3,,,,,,240,,,2,2,2,2,,1,1,3,5,1,,96.0,,1111,1111,2.0,5.0,2,4,5.0,8.0,2,4,1,5,2,4,65-74,9999,Yes,,1,1
2024,99999,WA,53031.0,5303100100.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,Loan originated,10,150000.0,80.0,5.25,0.25,0,2500.0,400.0,100.0,0.5,2000.0,360,0,0,0,0,0,0,0,830000.0,Stick,Owner-Occupied,Not Applicable,Not Applicable,1,0,72000.0,45.0,1,1,1,1,1,1,1,1,1,1,30,35,0,0,1,1,Yes,No,6,1
2024,99999,CA,61053.0,6105301000.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black,Male,Loan approved but not accepted,20,300000.0,95.0,7.25,1.75,1,3000.0,800.0,200.0,1.2,1500.0,300,0,0,0,0,0,1,1,950000.0,Frame,Investment,Not Applicable,Not Applicable,3,1,100000.0,50.0,2,2,2,2,2,2,2,2,2,2,45,50,1,1,0,1,Yes,No,3,1
2024,99999,NY,36001.0,3600100000.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,Loans sold,15,100000.0,65.0,3.50,0.75,0,1500.0,300.0,75.0,0.0,1200.0,180,1,0,0,0,0,0,0,300000.0,Stick,Owner-Occupied,Not Applicable,Not Applicable,1,0,99000.0,42.0,1,2,1,1,1,2,1,2,1,2,52,48,0,0,1,1,Yes,Yes,9,2
2024,99999,FL,12019.0,1201900100.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,Loan denied,30,220000.0,90.0,6.75,2.25,1,3500.0,900.0,300.0,1.5,2200.0,330,0,0,0,0,0,0,1,570000.0,Bulk,Owner-Occupied,Not Applicable,Not Applicable,1,0,110000.0,48.0,1,1,1,1,1,1,1,1,1,1,60,44,0,0,1,1,No,Yes,5,1
2024,99999,TX,48121.0,4812105000.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Application withdrawn,50,350000.0,88.0,7.00,1.50,1,4000.0,1000.0,350.0,1.0,2500.0,240,0,0,0,0,0,1,0,750000.0,Stick,Owner-Occupied,Not Applicable,Not Applicable,2,1,120000.0,52.0,2,2,2,2,2,2,2,2,2,2,58,54,1,1,0,0,Yes,No,2,1
2024,99999,CO,08027.0,0802701500.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Hispanic,Male,Approval in principle,00,80000.0,65.0,3.75,0.50,0,1200.0,280.0,60.0,0.0,900.0,360,0,0,0,0,0,0,0,180000.0,Frame,Investment,Not Applicable,Not Applicable,1,0,88000.0,50.0,2,1,2,2,2,1,2,1,2,1,40,38,1,1,1,1,Yes,No,8,1
2024,99999,NJ,34001.0,3400100000.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan originated,10,375000.0,78.0,5.50,0.50,0,2800.0,500.0,100.0,0.8,1800.0,300,1,1,0,0,1,0,0,1200000.0,Stick,Owner-Occupied,Not Applicable,Not Applicable,3,1,150000.0,40.0,1,1,1,1,1,1,1,1,1,1,70,62,0,0,1,1,Yes,No,3,1
2024,99999,GA,13109.0,1310900200.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Hispanic,Male,Application withdrawn,15,120000.0,92.0,6.25,2.00,1,2200.0,400.0,120.0,0.5,1100.0,360,0,0,0,0,0,0,1,420000.0,Bulk,Investment,Not Applicable,Not Applicable,1,0,90000.0,50.0,2,2,2,2,2,2,2,2,2,2,63,55,1,1,0,1,Yes,No,5,2
2024,99999,IL,17031.0,1703102500.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black,Female,Loans sold,10,180000.0,82.0,5.00,0.25,0,2000.0,350.0,75.0,0.0,1300.0,300,0,0,0,0,0,0,0,600000.0,Stick,Owner-Occupied,Not Applicable,Not Applicable,2,0,115000.0,48.0,2,2,2,2,2,2,2,2,2,2,55,60,0,0,1,1,Yes,Yes,4,1
2024,99999,OH,39071.0,3907100000.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Hispanic,Male,Loan approved but not accepted,10,275000.0,75.0,3.50,0.25,0,1800.0,300.0,80.0,0.3,1100.0,360,0,0,0,0,0,0,0,900000.0,Stick,Owner-Occupied,Not Applicable,Not Applicable,1,0,100000.0,40.0,1,2,1,1,1,2,1,2,1,2,29,33,0,0,0,1,Yes,Yes,2,1
