"EmployerName","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","EmployerSize","DateSubmitted"
"THE ROYAL ACADEMY OF DANCE","82990",11.8,4.9,52.1,37.4,48.5,66.3,28.6,58.2,17.3,70.1,23.4,59.2,55.3,46.9,500-999,2025-02-28 10:33:46
"ARNOLD CLARKE (HOLDINGS) LIMITED","41202",28.5,34.1,65.6,41.9,58.2,71.9,32.2,73.5,19.1,80.9,26.7,70.3,59.1,42.9,1000-4999,2025-03-27 12:10:21
"THE CHESTERFIELDS (MANAGEMENT) LIMITED","68320",20.3,22.1,55.9,25.6,50.8,59.2,36.8,75.5,21.9,84.1,28.5,75.6,62.9,43.1,500-999,2025-03-24 14:19:03
"FELIX DENTAL LIMITED","86100",16.2,10.9,44.5,28.1,45.6,54.4,30.8,65.2,18.5,73.9,25.3,64.5,59.3,41.7,250-499,2025-04-06 11:05:49
"THE HENRY VAUX FABIUS ACADEMY TRUST","85320",14.9,7.4,41.2,24.9,43.5,52.9,35.6,71.4,20.1,79.7,27.3,71.9,61.2,40.8,1000-4999,2025-03-25 13:42:19
"THE WISBECH & DISTRICT GENERAL HOSPITAL NHS TRUST","85110",12.1,5.6,38.5,21.4,40.8,50.6,29.4,65.8,19.2,75.6,24.9,68.5,59.1,41.1,1000-4999,2025-03-28 14:57:32
"THE EDINBURGH INTERNATIONAL CONFERENCE CENTRE MANAGEMENT LIMITED","82301",18.5,14.7,48.9,31.4,50.5,60.5,34.2,72.9,22.1,81.9,28.8,72.2,63.4,44.6,500-999,2025-02-26 10:49:41
"THE SURREY HEARTLANDS NHS FOUNDATION TRUST","85110",15.8,9.2,43.1,26.5,44.9,53.1,31.8,69.4,20.5,77.5,25.6,69.9,60.5,41.5,1000-4999,2025-04-01 12:37:15
"THE QI GROUP LIMITED","82990",25.9,33.8,61.4,43.8,60.5,72.5,38.4,76.2,24.1,84.3,30.9,74.2,66.2,49.8,500-999,2025-03-29 14:32:04
"THE RED TOURING COMPANY LIMITED","82990",21.4,18.2,52.3,35.6,51.5,63.5,33.6,71.9,23.4,79.5,27.9,71.1,62.2,45.5,250-499,2025-02-27 11:04:02
"THE HENRY BEECHAM HOSPITAL LIMITED","85110",17.2,11.4,46.1,29.9,46.4,56.2,32.5,72.3,21.9,79.5,25.3,69.8,62.1,43.3,500-999,2025-03-30 12:10:49
"THE DEANEMANN FOUNDATION"","82990",13.5,6.5,39.4,24.7,41.8,51.2,29.6,65.1,19.9,76.9,24.3,69.5,61.7,41.9,250-499,2025-03-26 13:59:16
"THE GLASGOW SCOTTISH CITY CHAMBERS LIMITED","82990",22.9,20.2,53.6,37.9,52.8,61.2,33.8,74.9,22.5,82.1,27.6,72.3,63.5,45.7,1000-4999,2025-04-02 13:03:50
"THE WATERSIDE GROUP LIMITED","82990",18.8,12.9,45.6,30.3,45.2,54.5,32.2,69.8,20.3,77.2,25.6,68.9,62.3,42.7,500-999,2025-02-25 11:21:45
"LUCY CASSELS LIMITED","41202",32.3,42.9,68.2,51.5,63.4,76.2,41.4,79.8,26.3,89.5,31.5,77.4,68.3,52.1,250-499,2025-04-05 12:00:51
"THE WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST","85110",14.7,7.9,40.1,25.8,42.3,52.1,30.7,68.5,20.6,76.9,25.2,69.6,61.1,41.5,1000-4999,2025-03-31 13:58:01
"THE WARWICKSHIRE AND NORTHAMPTONSHIRE NHS TRUST","85110",11.4,5.1,36.6,21.1,40.1,49.9,28.4,65.2,18.8,75.5,23.9,65.9,59.3,40.9,1000-4999,2025-02-24 11:35:34
"THE WATFORD COMMUNITY WELFARE ASSOCIATION LIMITED","82990",19.3,14.1,47.9,31.6,48.5,58.3,33.6,71.5,21.9,78.9,26.7,69.3,62.5,43.9,500-999,2025-03-28 14:04:34
"THE EDINBURGH AND LEITH WELFARE ASSOCIATION LIMITED","82990",16.9,10.5,42.9,27.3,44.9,54.7,30.9,68.2,20.3,76.9,25.5,68.8,61.4,42.2,250-499,2025-04-04 13:20:49
"THE HENRY WYATT & ASSOCIATES LIMITED","82990",23.1,19.5,55.1,41.2,54.3,64.5,35.6,75.9,23.5,84.5,29.4,73.6,65.6,48.3,500-999,2025-03-24 11:17:02
"THE ANGLIAN WATER SERVICES LIMITED","64209",20.9,18.3,51.1,36.5,50.3,60.3,33.8,70.5,22.5,76.9,26.7,68.5,62.5,43.5,1000-4999,2025-03-27 13:41:11
"THE WATERMANS GROUP LIMITED","82990",24.2,21.5,56.4,40.1,56.1,66.9,37.8,77.2,25.3,86.9,29.5,74.4,67.4,50.7,500-999,2025-02-26 12:32:15
"THE HENRY BEECHAM HOSPITALS LIMITED","85110",15.5,9.5,43.5,28.3,44.8,54.4,31.9,70.8,21.4,78.1,25.6,69.4,61.9,43.1,1000-4999,2025-04-01 12:28:52"
