"Wyndham Park Estates Limited",64209,42.3,35.8,-22.1,61.1,55.0,57.4,23.6,76.9,29.2,79.0,34.1,65.4,51.6,48.4,500-999,2025-04-15
"Harlow Place Limited",55100,27.1,21.3,31.9,-48.6,36.9,44.9,38.8,61.2,34.9,65.4,39.2,58.0,41.4,58.6,250-499,2025-03-22
"Easton Associates Limited",59131,38.4,30.1,51.0,23.0,26.6,28.5,61.4,38.6,61.4,38.6,49.8,51.5,59.2,40.8,1000-4999,2025-04-10
"Chiltern View Estates Limited",55100,32.2,24.4,18.1,-56.6,20.4,29.6,47.8,52.2,32.5,57.3,38.4,55.2,45.0,55.0,500-999,2025-04-01
"Weston Hills Limited",59131,25.9,19.5,23.1,31.6,30.8,32.5,53.4,46.6,53.4,46.6,51.9,48.1,54.3,45.7,250-499,2025-03-25
"Central Chertsey Limited",64209,45.9,38.8,62.4,85.0,53.1,60.2,24.4,75.6,30.8,84.9,35.4,72.8,52.6,47.4,1000-4999,2025-04-08
"Southwood Hall Limited",55100,29.4,24.9,22.2,-29.6,28.5,41.7,36.6,63.4,32.3,66.0,39.6,56.4,40.8,59.2,500-999,2025-03-28
"Harlow Village Limited",59131,20.1,15.4,10.2,-70.2,14.7,20.0,50.2,49.8,31.8,51.4,40.4,58.8,43.2,56.8,250-499,2025-03-18
"Chilworth Estate Limited",64209,35.6,30.4,-11.3,44.8,48.3,56.7,27.4,71.6,28.1,75.0,33.6,66.2,49.2,50.8,1000-4999,2025-04-05
"East Woodley Limited",55100,23.9,20.7,15.8,0.6,23.1,31.4,43.9,56.1,30.2,61.4,37.2,59.4,38.6,61.4,500-999,2025-04-06
"Caversham Hill Limited",59131,34.8,28.1,20.7,41.6,25.9,32.7,55.4,44.6,55.4,44.6,51.6,48.4,52.8,47.2,250-499,2025-03-23
"Bothwell Place Limited",64209,41.9,36.6,57.7,93.9,52.8,60.9,26.6,73.4,29.1,79.7,33.5,69.2,51.0,49.0,1000-4999,2025-04-12
"Great Chiswick Limited",55100,30.7,26.2,8.7,-36.4,27.3,39.3,40.6,59.4,35.7,61.3,41.6,56.4,40.2,59.8,500-999,2025-03-30
"Bedhampton Place Limited",59131,26.9,22.9,15.8,-44.0,20.9,29.5,48.9,51.1,29.6,53.9,37.8,54.2,41.6,58.4,250-499,2025-03-29
"Windlestone Estate Limited",64209,39.8,34.9,55.7,79.5,49.9,58.4,28.2,70.8,30.6,77.4,33.1,68.2,50.8,49.2,1000-4999,2025-04-09
"Wyndham Court Limited",55100,27.3,23.2,27.6,-13.2,30.6,42.5,39.6,60.4,32.7,64.5,38.8,57.4,42.0,58.0,500-999,2025-03-27
"Southwick Place Limited",59131,19.5,15.1,9.4,-64.5,17.6,24.5,46.9,53.1,29.9,54.1,39.8,54.5,38.4,61.6,250-499,2025-03-20
"Chertsey Village Limited",64209,33.6,28.5,33.9,51.0,38.8,46.3,31.6,68.4,32.7,72.3,34.8,63.6,45.0,55.0,1000-4999,2025-04-07
"Northwood Heath Limited",55100,25.6,22.1,12.7,-30.5,23.3,34.6,48.2,51.8,30.5,53.9,37.5,56.8,39.4,60.6,500-999,2025-04-13
"Easton Fields Limited",59131,29.4,25.4,29.4,1.1,29.5,37.1,51.8,48.2,51.8,48.2,49.5,50.5,51.4,49.0,250-499,2025-03-26
"Tolworth Hill Limited",64209,40.6,36.2,67.3,108.3,56.3,59.4,29.6,70.4,30.9,76.8,32.4,69.4,51.6,48.4,1000-4999,2025-04-11
"Woodlands Village Limited",55100,22.2,19.3,13.8,-54.9,19.5,27.3,46.3,53.7,31.0,54.1,39.9,54.5,37.3,63.7,500-999,2025-03-24
"Woodstock Hill Limited",59131,28.5,24.8,24.5,-12.7,26.4,34.2,53.9,46.1,53.9,46.1,48.5,51.5,49.0,51.0,250-499,2025-03-21
"Great Marlow Limited",64209,35.7,31.2,39.8,68.8,40.2,45.8,33.4,64.6,31.5,70.7,33.3,63.3,45.6,54.4,1000-4999,2025-04-02
"Woodley Heath Limited",55100,26.2,23.8,14.8,-35.7,22.5,32.6,43.6,56.4,31.2,60.6,36.8,58.4,37.2,62.8,500-999,2025-04-04
"Northwood Place Limited",59131,31.8,27.3,38.1,59.5,35.6,41.9,53.8,46.2,53.8,46.2,49.1,50.9,50.4,49.6,250-499,2025-03-19
"Great Chalfont Limited",64209,43.8,38.9,64.8,102.4,54.4,58.5,30.1,73.1,31.2,79.6,33.5,70.6,51.2,48.8,1000-4999,2025-04-14
"Woodstock Place Limited",55100,28.9,25.5,22.2,-39.5,25.9,36.4,49.8,50.2,30.5,55.9,36.9,56.8,40.2,60.0,500-999,2025-03-17
