MISHCON DE REYA GROUP (OPERATIONS) LIMITED,64209,38.2,29.9,71.5,23.1,56.3,62.8,27.2,76.5,16.3,85.6,28.1,74.2,57.4,45.7,500-999,2025-01-15 10:45:21
TAYLOR WESSING LLP,74101,31.5,24.2,72.9,31.5,54.9,65.1,24.8,75.3,15.5,84.2,26.4,72.9,55.1,43.9,500-999,2025-02-14 12:20:05
CRANFORDS LIMITED,65190,37.7,30.8,74.1,24.6,57.3,63.2,28.1,77.4,17.2,86.1,29.5,75.9,58.5,46.2,500-999,2025-03-11 09:05:38
STEPHENSON COX LLP,69300,30.9,23.9,69.8,30.4,53.5,61.9,25.6,74.2,14.9,83.5,27.1,72.2,54.7,42.9,500-999,2025-04-18 11:30:22
DESMOND JONES LLP,64209,39.1,31.1,70.5,23.9,55.6,63.5,29.3,76.9,16.8,85.3,28.6,74.8,56.3,44.9,500-999,2025-05-22 14:10:41
MARTIN KATZ LLP,74101,32.4,25.6,73.4,32.1,56.8,65.4,25.9,75.8,15.9,84.9,26.9,73.5,55.9,43.5,500-999,2025-06-19 10:05:09
HARBOUR LLP,65190,38.5,30.2,72.2,24.8,54.4,62.7,27.9,77.1,17.4,86.3,29.3,75.6,57.7,45.9,500-999,2025-07-17 13:35:02
DORSEY & WHITNEY (EUROPE) LLP,69300,31.2,24.5,71.9,30.7,55.1,63.9,25.3,74.9,15.1,84.1,26.6,72.3,55.3,43.2,500-999,2025-08-14 11:55:39
HUNTON & WILLIAMS (EUROPE) LLP,64209,33.9,26.3,70.2,23.1,54.9,61.8,28.3,76.3,16.4,85.5,29.1,74.9,56.5,44.8,500-999,2025-09-11 10:40:11
WESSON LLP,74101,34.8,27.5,72.6,31.4,57.2,64.4,26.5,75.5,15.7,84.7,27.7,73.6,56.3,45.1,500-999,2025-10-09 12:15:47
NORRIS GREEN LLP,65190,36.2,29.7,73.8,24.9,58.5,62.9,29.6,77.2,17.5,86.8,30.3,76.2,59.1,46.9,500-999,2025-11-13 14:00:29
CITRIN COCKRELL LLP,69300,35.1,28.4,71.3,30.6,54.7,62.1,28.8,76.1,16.9,85.1,29.9,75.1,57.7,44.6,500-999,2025-12-11 10:15:56
CAMERON McKENZIE LLP,64209,32.9,25.9,70.9,23.3,55.3,61.5,26.9,75.4,15.6,84.2,27.4,73.2,55.8,43.3,500-999,2025-01-10 11:50:32
COX GOURLAY LLP,74101,33.1,26.1,72.3,31.7,57.4,64.2,27.4,75.8,16.1,84.9,28.3,73.5,57.3,46.2,500-999,2025-02-08 13:25:41
LEGG MASON LIMITED,65190,37.4,30.5,73.1,24.3,58.2,62.6,29.4,76.6,17.3,86.4,30.2,75.8,60.3,48.1,500-999,2025-03-07 12:40:58
