activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,16980,CA,6073,6073010101,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,31,485000,80,7.125,2.5,2,8500,3500,5800,1500,500,360,0,0,2,2,2,2,,606250,1,1,3,5,1,,125,45,1,1,2,2,1,1,2,2,1,1,1,1,1,1,35-44,45-54,No,No,1,1
2024,31080,TX,141,0141000201,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,31,320000,85,6.875,2.2,2,7200,2800,4900,1200,800,360,0,0,2,2,2,2,,376471,1,1,3,5,1,,98,38,1,1,2,2,1,1,2,2,1,1,1,1,1,1,25-34,25-34,No,No,1,1
2024,26420,OH,049,0490026401,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,31,215000,75,7.375,2.8,2,6500,2500,4200,1100,600,360,0,0,2,2,2,2,,286667,1,1,3,5,1,,85,42,1,1,1,2,1,1,2,2,1,1,1,1,1,1,45-54,35-44,No,No,1,1
2024,19100,FL,115,11501030102,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,31,410000,90,7.625,3.1,2,9800,4200,7100,1800,1200,360,0,0,2,2,2,2,,455556,1,1,3,5,1,,140,50,1,1,2,2,1,1,2,2,1,1,1,1,1,1,55-64,45-54,Yes,No,1,1
2024,35620,WA,033,0330027501,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,31,625000,70,6.625,1.8,2,11200,4800,8200,2100,1500,360,0,0,2,2,2,2,,892857,1,1,3,5,1,,180,35,1,1,2,2,1,1,2,2,1,1,1,1,1,1,35-44,35-44,No,No,1,1
2024,41860,MI,125,12502890101,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,31,275000,80,7.125,2.4,2,7800,3100,5500,1400,900,360,0,0,2,2,2,2,,343750,1,1,3,5,1,,110,40,1,1,2,2,1,1,2,2,1,1,1,1,1,1,25-34,25-34,No,No,1,1
2024,38060,NC,119,11901050203,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Asian,Male,1,31,365000,85,7.25,2.6,2,8900,3600,6400,1600,1100,360,0,0,2,2,2,2,,429412,1,1,3,5,1,,130,48,1,1,1,2,1,1,2,2,1,1,1,1,1,1,35-44,45-54,No,No,1,1
2024,12060,AZ,013,01300730101,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,31,525000,75,6.875,2.1,2,9800,4100,7300,1900,1300,360,0,0,2,2,2,2,,700000,1,1,3,5,1,,165,38,1,1,2,2,1,1,2,2,1,1,1,1,1,1,45-54,35-44,No,No,1,1
2024,14460,CO,123,12301450201,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,31,450000,80,7.0,2.3,2,8600,3500,6200,1600,1000,360,0,0,2,2,2,2,,562500,1,1,3,5,1,,145,43,1,1,2,2,1,1,2,2,1,1,1,1,1,1,25-34,25-34,No,No,1,1
2024,19740,GA,135,13501060102,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,31,295000,85,7.5,2.9,2,7500,2900,5200,1300,800,360,0,0,2,2,2,2,,347059,1,1,3,5,1,,105,46,1,1,2,2,1,1,2,2,1,1,1,1,1,1,55-64,55-64,Yes,Yes,1,1
2024,47900,OR,051,05101430201,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,31,385000,96,6.75,1.5,2,12800,5200,8900,2300,1800,360,0,0,2,2,2,2,,401042,1,1,3,5,1,,115,52,3,3,2,2,1,1,2,2,1,1,1,1,1,1,35-44,35-44,No,No,3,3
2024,38900,NV,003,0031002301,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,31,420000,100,6.25,1.2,2,10500,4500,7800,2000,1500,360,0,0,2,2,2,2,,420000,1,1,3,5,1,,125,41,2,2,1,2,1,1,2,2,1,1,1,1,1,1,45-54,45-54,No,No,2,2
2024,45300,PA,045,0450920101,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,31,75000,,8.125,4.2,2,4200,1800,2800,700,400,180,0,0,2,2,2,2,,,1,1,3,5,1,,85,35,1,1,2,2,1,1,2,2,1,1,1,1,1,1,35-44,45-54,No,No,1,1
2024,22020,IL,031,0310089201,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,1,31,510000,78,7.375,2.7,2,9200,3800,6800,1700,1200,360,0,0,2,2,2,2,,653846,1,1,3,5,1,,155,39,1,1,4,4,3,3,4,4,3,3,4,4,3,3,35-44,35-44,No,No,1,1
2024,17460,CT,003,0030085101,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,3,31,395000,85,,,2,,,,,,360,0,0,2,2,2,2,,464706,1,1,3,5,1,,135,,1,1,2,2,1,1,2,2,1,1,1,1,1,1,45-54,,No,,1,1
2024,33100,TX,085,0850043201,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,31,355000,82,6.925,2.3,2,8100,3300,5800,1500,1000,360,0,0,2,2,2,2,,432927,1,1,3,5,1,,120,44,1,1,2,2,1,1,2,2,1,1,1,1,1,1,25-34,25-34,No,No,1,1
2024,12020,CA,071,0710067302,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,31,580000,88,7.75,3.2,2,11500,4800,8200,2100,1600,360,0,0,2,2,2,2,,659091,1,1,3,5,1,,175,51,1,1,1,2,1,1,2,2,1,1,1,1,1,1,35-44,35-44,No,No,1,1
2024,38080,NC,183,18301070201,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,31,245000,75,7.125,2.5,2,6800,2700,4700,1200,700,360,0,0,2,2,2,2,,326667,1,1,3,5,1,,95,39,1,1,2,2,1,1,2,2,1,1,1,1,1,1,45-54,35-44,No,No,1,1
2024,42660,TN,037,03701860101,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,31,315000,80,7.25,2.4,2,7600,3000,5400,1400,900,360,0,0,2,2,2,2,,393750,1,1,3,5,1,,110,42,1,1,2,2,1,1,2,2,1,1,1,1,1,1,25-34,25-34,No,No,1,1
2024,29820,OH,035,0350048901,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,31,275000,85,6.875,2.1,2,7200,2900,5100,1300,850,360,0,0,2,2,2,2,,323529,1,1,3,5,1,,105,37,1,1,2,2,1,1,2,2,1,1,1,1,1,1,35-44,35-44,No,No,1,1
2024,12540,AZ,021,02101370201,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,31,485000,82,7.375,2.6,2,9300,3900,6900,1800,1300,360,0,0,2,2,2,2,,591463,1,1,3,5,1,,155,46,1,1,2,2,1,1,2,2,1,1,1,1,1,1,45-54,45-54,No,No,1,1
2024,19740,GA,217,21701080102,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Male,1,31,335000,78,7.5,2.8,2,8200,3400,5900,1500,1000,360,0,0,2,2,2,2,,429487,1,1,3,5,1,,125,49,1,1,1,2,1,1,2,2,1,1,1,1,1,1,25-34,35-44,No,No,1,1
2024,12060,CA,059,0590101201,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,31,725000,70,6.625,1.9,2,12800,5400,9200,2400,1900,360,0,0,2,2,2,2,,1035714,1,1,3,5,1,,210,33,1,1,2,2,1,1,2,2,1,1,1,1,1,1,35-44,35-44,No,No,1,1
2024,38900,NV,005,0052015301,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,31,395000,96,6.875,1.8,2,13500,5500,9200,2400,1900,360,0,0,2,2,2,2,,411458,1,1,3,5,1,,120,55,3,3,2,2,1,1,2,2,1,1,1,1,1,1,25-34,25-34,No,No,3,3
2024,45300,PA,101,1015900301,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,31,285000,85,7.125,2.4,2,7100,2800,5000,1300,800,360,0,0,2,2,2,2,,335294,1,1,3,5,1,,100,41,1,1,2,2,1,1,2,2,1,1,1,1,1,1,45-54,45-54,No,No,1,1
2024,17460,CT,005,0050078201,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,31,425000,75,7.0,2.2,2,8600,3600,6400,1600,1100,360,0,0,2,2,2,2,,566667,1,1,3,5,1,,140,38,1,1,2,2,1,1,2,2,1,1,1,1,1,1,35-44,35-44,No,No,1,1
