EmployerName,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,EmployerSize,DateSubmitted
BrightWave Energy Ltd,35110,14.7,12.3,22.4,18.9,8.1,5.6,58,42,54,46,61,39,68,32,Medium,2024-11-12
MapleLane Logistics plc,52290,11.2,9.8,19.5,15.2,10.3,7.1,52,48,49,51,55,45,62,38,Large,2025-01-08
NovaTech Solutions UK,62020,18.9,16.4,28.7,24.1,12.5,8.3,45,55,42,58,48,52,55,45,Medium,2024-12-03
RiverStone Retail Group,47190,9.5,7.2,15.8,12.6,6.7,4.9,48,52,46,54,50,50,56,44,Large,2025-02-14
CrestEdge Financial,64191,22.6,19.8,35.2,30.4,18.7,11.2,38,62,35,65,40,60,48,52,Large,2024-10-21
PineHill Manufacturing Co,25120,16.3,14.1,24.9,20.7,9.4,6.8,55,45,52,48,58,42,64,36,Medium,2025-03-01
AuroraCare Health,86101,13.8,11.5,21.3,17.6,7.9,5.7,50,50,47,53,53,47,59,41,Large,2024-11-27
Silverline Media Group,59111,20.1,17.9,31.5,27.2,14.6,9.1,42,58,39,61,45,55,52,48,Medium,2025-01-19
Redgate Construction Ltd,41201,15.7,13.4,23.8,19.5,8.6,6.2,53,47,50,50,56,44,62,38,Medium,2024-12-15
BlueOrbit Hospitality,55110,8.3,6.1,14.2,10.8,5.4,3.8,46,54,44,56,48,52,54,46,Large,2025-02-27
GreenSpark Renewables,35140,12.4,10.2,19.7,16.1,7.2,5.1,49,51,46,54,52,48,58,42,Medium,2024-10-30
NorthStar Insurance,65120,19.5,17.2,29.8,25.6,15.3,10.4,41,59,38,62,44,56,51,49,Large,2025-01-12
TerraFirma Mining,08990,17.8,15.6,26.4,22.1,10.1,7.5,54,46,51,49,57,43,63,37,Medium,2024-11-05
Skyline Airlines Ltd,51101,14.2,12.0,21.9,18.3,8.8,6.4,51,49,48,52,54,46,60,40,Large,2025-03-08
ClearView Opticians,86900,10.6,8.4,16.5,13.2,6.1,4.5,47,53,45,55,49,51,55,45,Small,2024-12-22
PhoenixRide Automotive,45111,13.9,11.7,20.8,17.1,7.6,5.6,50,50,47,53,53,47,59,41,Large,2025-02-05
GoldenHarvest Foods,10890,11.8,9.6,18.1,14.7,6.9,5.0,48,52,45,55,51,49,57,43,Medium,2024-11-18
IronBridge Engineering,71111,16.5,14.3,25.2,21.0,9.7,7.1,53,47,50,50,57,43,63,37,Medium,2025-01-25
Willowbrook Academies,85200,9.1,7.0,15.4,12.0,5.8,4.2,46,54,44,56,48,52,54,46,Large,2024-10-14
CrystalWave Telecom,61100,18.3,16.0,27.9,23.7,13.2,9.5,43,57,40,60,46,54,53,47,Large,2025-03-12
ElmTree Care Homes,87200,12.6,10.4,19.0,15.6,7.4,5.3,49,51,46,54,52,48,58,42,Medium,2024-12-09
NovaFusion Biotech,72110,21.4,19.1,32.7,28.3,16.8,11.9,39,61,36,64,42,58,50,50,Medium,2025-01-30
RedHawk Security,80100,15.0,12.8,22.5,18.8,8.3,6.1,52,48,49,51,55,45,61,39,Medium,2024-11-23
Sunrise Hotels Group,55120,8.7,6.5,14.6,11.3,5.6,4.0,47,53,45,55,49,51,55,45,Large,2025-02-18
Meridian Legal LLP,69101,23.8,21.5,36.9,32.1,19.4,12.7,37,63,34,66,39,61,47,53,Medium,2024-10-07
Starling Cloud Services,63110,17.1,14.9,25.8,21.5,11.6,8.4,44,56,41,59,47,53,54,46,Large,2025-03-15
OakRidge Estates,68209,13.2,11.0,20.3,16.9,7.8,5.7,50,50,47,53,53,47,59,41,Medium,2024-12-01
RiverBend Pharma,21200,19.7,17.4,30.1,25.9,14.7,10.2,42,58,39,61,45,55,52,48,Large,2025-01-21
TitanForge Metals,24410,16.0,13.8,24.6,20.4,9.2,6.9,54,46,51,49,57,43,63,37,Medium,2024-11-10
LunaPark Entertainment,93210,10.3,8.1,16.8,13.5,6.4,4.7,48,52,46,54,50,50,56,44,Medium,2025-02-22
PureFlow Water,36000,14.5,12.3,22.1,18.5,8.5,6.2,51,49,48,52,54,46,60,40,Medium,2024-10-26
BrightPath Consulting,70229,20.6,18.3,31.2,26.8,15.9,11.3,40,60,37,63,43,57,50,50,Large,2025-03-04
HarbourView Shipping,50100,12.9,10.7,19.4,16.0,7.5,5.4,49,51,46,54,52,48,58,42,Large,2024-12-18
EcoLeaf Packaging,22220,15.4,13.2,23.5,19.3,8.9,6.5,52,48,49,51,55,45,61,39,Medium,2025-01-14
NovaTech Rail,30200,17.5,15.3,26.7,22.4,10.8,8.0,53,47,50,50,56,44,62,38,Large,2024-11-15
SilverLeaf Fintech,66191,24.2,21.9,37.5,32.7,20.1,13.4,36,64,33,67,38,62,46,54,Medium,2025-02-10
ClearStream Utilities,36004,11.5,9.3,17.7,14.3,6.7,4.9,48,52,45,55,51,49,57,43,Large,2024-10-31
MapleCrest Homes,41100,13.7,11.5,21.0,17.4,8.0,5.8,50,50,47,53,53,47,59,41,Medium,2025-03-18
ApexSport Retail,47640,9.8,7.6,15.1,11.9,5.9,4.3,47,53,45,55,49,51,55,45,Large,2024-12-05
Zenith Research,72190,22.0,19.7,33.4,29.0,17.5,12.2,38,62,35,65,41,59,49,51,Medium,2025-01-27
BlueRidge Logistics,52241,12.1,9.9,18.4,15.0,7.3,5.2,49,51,46,54,52,48,58,42,Medium,2024-11-20
Starlight Care,87100,10.0,7.8,16.2,12.9,6.2,4.5,47,53,45,55,49,51,55,45,Large,2025-02-28
RedRock Mining,05101,18.2,16.0,27.6,23.3,13.0,9.6,44,56,41,59,47,53,54,46,Medium,2024-10-19
GreenField Agri,01110,11.3,9.1,17.5,14.1,6.6,4.8,48,52,45,55,51,49,57,43,Medium,2025-03-21
UrbanLink Bus,49311,14.8,12.6,22.3,18.7,8.7,6.3,51,49,48,52,54,46,60,40,Large,2024-12-12
CloudPeak Software,58290,19.4,17.1,29.5,25.2,14.4,10.1,42,58,39,61,45,55,52,48,Medium,2025-01-09
HarbourSide Marine,50200,13.5,11.3,20.6,17.2,7.9,5.8,50,50,47,53,53,47,59,41,Medium,2024-11-25
WillowPark Properties,68100,16.8,14.6,25.5,21.3,10.5,7.7,53,47,50,50,56,44,62,38,Large,2025-02-14
TitanGrid Power,35111,15.1,12.9,23.0,19.4,8.8,6.4,52,48,49,51,55,45,61,39,Large,2024-10-22
