"date_year","agency_type_name","state_abbr","state_name","incident_date","adult_victim_count","juvenile_victim_count","total_offender_count","adult_offender_count","juvenile_offender_count","offender_race","offender_ethnicity","victim_count","offense_name","total_individual_victims","location_name","bias_desc","victim_types","multiple_offense","multiple_bias"
"1991","Local", "CA", "California", "1991-02-10", 2, 0, 1, 1, 0, "White", "Non-Hispanic", 2, "Anti-Semitic", 2, "Park", "Racial/Ethnic Bias", "Individual", 0, 0
"1991","State", "TX", "Texas", "1991-05-20", 1, 0, 2, 2, 0, "Asian", "Non-Hispanic", 1, "Hate Crime Against Sexual Orientation", 1, "City", "Bias Motivated by Sexual Orientation", "Individual", 1, 0
"1991","Federal", "NY", "New York", "1991-09-15", 0, 0, 1, 1, 0, "Black or African American", "Non-Hispanic", 0, "Anti-LGBT", 0, "Street", "Racial/Ethnic Bias", "Individual", 1, 0
"1992","Local", "FL", "Florida", "1992-01-25", 3, 0, 2, 2, 0, "Hispanic or Latino", "Non-Hispanic", 3, "Anti-Indian", 3, "Residence", "Racial/Ethnic Bias", "Individual", 0, 0
"1992","State", "IL", "Illinois", "1992-03-10", 2, 0, 1, 1, 0, "White", "Non-Hispanic", 2, "Hate Crime Against Disability", 2, "Park", "Bias Motivated by Disability", "Individual", 0, 0
"1992","Federal", "CA", "California", "1992-09-01", 0, 0, 2, 2, 0, "Asian", "Non-Hispanic", 0, "Anti-Arab", 0, "Street", "Racial/Ethnic Bias", "Individual", 1, 0
"1993","Local", "NY", "New York", "1993-02-20", 1, 0, 1, 1, 0, "Black or African American", "Non-Hispanic", 1, "Anti-Jewish", 1, "Residence", "Racial/Ethnic Bias", "Individual", 0, 0
"1993","State", "TX", "Texas", "1993-04-15", 2, 0, 1, 1, 0, "White", "Non-Hispanic", 2, "Hate Crime Against Sexual Orientation", 2, "City", "Bias Motivated by Sexual Orientation", "Individual", 1, 0
"1993","Federal", "FL", "Florida", "1993-08-10", 0, 0, 1, 1, 0, "Hispanic or Latino", "Non-Hispanic", 0, "Anti-LGBT", 0, "Street", "Racial/Ethnic Bias", "Individual", 1, 0
"1994","Local", "CA", "California", "1994-01-01", 3, 0, 2, 2, 0, "Asian", "Non-Hispanic", 3, "Anti-Indian", 3, "Residence", "Racial/Ethnic Bias", "Individual", 0, 0
"1994","State", "IL", "Illinois", "1994-02-20", 2, 0, 1, 1, 0, "White", "Non-Hispanic", 2, "Hate Crime Against Disability", 2, "Park", "Bias Motivated by Disability", "Individual", 0, 0
"1994","Federal", "NY", "New York", "1994-05-25", 0, 0, 2, 2, 0, "Black or African American", "Non-Hispanic", 0, "Anti-Arab", 0, "Street", "Racial/Ethnic Bias", "Individual", 1, 0
"1995","Local", "FL", "Florida", "1995-01-10", 1, 0, 1, 1, 0, "Hispanic or Latino", "Non-Hispanic", 1, "Anti-Jewish", 1, "Residence", "Racial/Ethnic Bias", "Individual", 0, 0
"1995","State", "TX", "Texas", "1995-03-01", 2, 0, 1, 1, 0, "White", "Non-Hispanic", 2, "Hate Crime Against Sexual Orientation", 2, "City", "Bias Motivated by Sexual Orientation", "Individual", 1, 0
"1995","Federal", "CA", "California", "1995-07-15", 0, 0, 1, 1, 0, "Asian", "Non-Hispanic", 0, "Anti-LGBT", 0, "Street", "Racial/Ethnic Bias", "Individual", 1, 0
"1996","Local", "NY", "New York", "1996-01-25", 3, 0, 2, 2, 0, "Black or African American", "Non-Hispanic", 3, "Anti-Indian", 3, "Residence", "Racial/Ethnic Bias", "Individual", 0, 0
"1996","State", "IL", "Illinois", "1996-02-10", 2, 0, 1, 1, 0, "White", "Non-Hispanic", 2, "Hate Crime Against Disability", 2, "Park", "Bias Motivated by Disability", "Individual", 0, 0
"1996","Federal", "FL", "Florida", "1996-04-01", 0, 0, 2, 2, 0, "Hispanic or Latino", "Non-Hispanic", 0, "Anti-Arab", 0, "Street", "Racial/Ethnic Bias", "Individual", 1, 0
"1997","Local", "CA", "California", "1997-01-01", 1, 0, 1, 1, 0, "Asian", "Non-Hispanic", 1, "Anti-Jewish", 1, "Residence", "Racial/Ethnic Bias", "Individual", 0, 0
"1997","State", "TX", "Texas", "1997-02-20", 2, 0, 1, 1, 0, "White", "Non-Hispanic", 2, "Hate Crime Against Sexual Orientation", 2, "City", "Bias Motivated by Sexual Orientation", "Individual", 1, 0
"1997","Federal", "NY", "New York", "1997-05-10", 0, 0, 1, 1, 0, "Black or African American", "Non-Hispanic", 0, "Anti-LGBT", 0, "Street", "Racial/Ethnic Bias", "Individual", 1, 0
"1998","Local", "FL", "Florida", "1998-01-15", 3, 0, 2, 2, 0, "Hispanic or Latino", "Non-Hispanic", 3, "Anti-Indian", 3, "Residence", "Racial/Ethnic Bias", "Individual", 0, 0
"1998","State", "IL", "Illinois", "1998-02-01", 2, 0, 1, 1, 0, "White", "Non-Hispanic", 2, "Hate Crime Against Disability", 2, "Park", "Bias Motivated by Disability", "Individual", 0, 0
"1998","Federal", "CA", "California", "1998-04-20", 0, 0, 2, 2, 0, "Asian", "Non-Hispanic", 0, "Anti-Arab", 0, "Street", "Racial/Ethnic Bias", "Individual", 1, 0
