"domain","time_period","data_year","agency_type_name","state_abbr","state_name","incident_date","adult_victim_count","juvenile_victim_count","total_offender_count","adult_offender_count","juvenile_offender_count","offender_race","offender_ethnicity","victim_count","offense_name","total_individual_victims","location_name","bias_desc","victim_types","multiple_offense","multiple_bias"

"United States","1991-2014",2014,"Local","NY","New York","2014-03-27",1,0,2,1,1,"White","Not Hispanic or Latino",1,"Simple Assault","1","Brooklyn","Ethnicity/Immigrant Status","Adult","Yes","Yes"

"United States","1991-2014",2013,"State","CA","California","2013-02-11",0,1,1,0,1,"Hispanic or Latino","Hispanic or Latino",1,"Intimidation","1","Los Angeles","Religion",,"No","Yes"

"United States","1991-2014",2012,"Local","FL","Florida","2012-08-25",1,0,1,1,0,"Black or African American","Black or African American",1,"Vandalism","1","Miami","Disability",,"Yes","Yes"

"United States","1991-2014",2011,"Federal","TX","Texas","2011-06-20",0,0,1,0,1,"Asian","Asian",1,"Aggravated Assault","1","Houston","Sexual Orientation",,"No","Yes"

"United States","1991-2014",2010,"Local","GA","Georgia","2010-10-29",1,0,2,1,1,"White","Not Hispanic or Latino",2,"Simple Assault","2","Atlanta","Ethnicity/Immigrant Status","Adult, Juvenile","Yes","Yes"

"United States","1991-2014",2009,"State","IL","Illinois","2009-12-15",0,1,1,0,1,"Hispanic or Latino","Hispanic or Latino",1,"Intimidation","1","Chicago","Religion",,"No","Yes"

"United States","1991-2014",2008,"Local","NC","North Carolina","2008-05-22",1,0,1,1,0,"Black or African American","Black or African American",1,"Vandalism","1","Charlotte","Disability",,"Yes","Yes"

"United States","1991-2014",2007,"Federal","OH","Ohio","2007-01-17",0,0,1,0,1,"Asian","Asian",1,"Aggravated Assault","1","Columbus","Sexual Orientation",,"No","Yes"

"United States","1991-2014",2006,"Local","TN","Tennessee","2006-09-18",1,0,2,1,1,"White","Not Hispanic or Latino",2,"Simple Assault","2","Nashville","Ethnicity/Immigrant Status","Adult, Juvenile","Yes","Yes"

"United States","1991-2014",2005,"State","PA","Pennsylvania","2005-03-28",0,1,1,0,1,"Hispanic or Latino","Hispanic or Latino",1,"Intimidation","1","Philadelphia","Religion",,"No","Yes"

"United States","1991-2014",2004,"Local","SC","South Carolina","2004-11-14",1,0,1,1,0,"Black or African American","Black or African American",1,"Vandalism","1","Columbia","Disability",,"Yes","Yes"

"United States","1991-2014",2003,"Federal","WI","Wisconsin","2003-07-10",0,0,1,0,1,"Asian","Asian",1,"Aggravated Assault","1","Madison","Sexual Orientation",,"No","Yes"

"United States","1991-2014",2002,"Local","AL","Alabama","2002-02-24",1,0,2,1,1,"White","Not Hispanic or Latino",2,"Simple Assault","2","Birmingham","Ethnicity/Immigrant Status","Adult, Juvenile","Yes","Yes"

"United States","1991-2014",2001,"State","CO","Colorado","2001-09-17",0,1,1,0,1,"Hispanic or Latino","Hispanic or Latino",1,"Intimidation","1","Denver","Religion",,"No","Yes"

"United States","1991-2014",2000,"Local","ID","Idaho","2000-04-22",1,0,1,1,0,"Black or African American","Black or African American",1,"Vandalism","1","Boise","Disability",,"Yes","Yes"

"United States","1991-2014",1999,"Federal","KS","Kansas","1999-01-15",0,0,1,0,1,"Asian","Asian",1,"Aggravated Assault","1","Topeka","Sexual Orientation",,"No","Yes"

"United States","1991-2014",1998,"Local","LA","Louisiana","1998-08-26",1,0,2,1,1,"White","Not Hispanic or Latino",2,"Simple Assault","2","New Orleans","Ethnicity/Immigrant Status","Adult, Juvenile","Yes","Yes"

