activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,35620,CA,0370.0,06037203001.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,Loan originated,1,425000,0.85,6.875,2.25,0,8500,2500,3500,1.5,1500,360,0,0,2,2,2,2,,500000,1,1,3,3,1,,125000,0.38,1,1,2,5,2,5,2,7,2,7,1,5,2,5,35-44,25-34,No,No,1,1
2024,16980,TX,2010.0,48201453002.0,FHA-insured:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,Loan originated,1,285000,0.96,7.125,0,0,9500,3200,4200,0,2000,360,0,0,2,2,2,2,,295000,1,1,3,3,1,,68000,0.43,1,1,1,5,2,5,1,5,2,5,2,5,2,5,25-34,35-44,No,No,1,1
2024,19100,FL,0050.0,12005012400.0,VA-guaranteed:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,Application approved but not accepted,1,315000,0.92,6.5,1.75,0,7800,2100,3100,1.0,1200,360,0,0,2,2,2,2,,340000,1,1,3,3,1,,88000,0.29,1,1,2,5,2,5,3,5,2,5,1,5,2,5,45-54,45-54,No,No,1,1
2024,26420,IL,0310.0,17031817200.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Loan originated,2,375000,0.78,6.25,2.0,0,7200,1800,2800,1.25,1000,360,0,0,2,2,2,2,,480000,1,1,3,3,1,,115000,0.31,1,1,2,5,2,5,5,5,2,5,2,5,2,5,35-44,35-44,No,No,1,1
2024,41860,OH,0350.0,39035010600.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,American Indian or Alaska Native,Male,Loan originated,3,45000,0.15,8.0,3.5,0,3200,1200,1800,2.0,800,180,0,0,2,2,2,2,,300000,1,1,3,3,1,,52000,0.51,1,1,1,5,2,5,1,5,2,5,1,5,2,5,55-64,65-74,No,Yes,1,1
2024,38060,WA,0330.0,53033022304.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Female,Loan originated,1,580000,0.88,7.0,2.5,0,11200,3800,4800,1.75,2200,360,0,0,2,2,2,2,,660000,1,1,3,3,1,,142000,0.35,1,1,2,5,2,5,4,5,2,5,2,5,2,5,25-34,25-34,No,No,1,1
2024,12060,AZ,0130.0,04013011402.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Application denied,1,295000,0.89,7.375,2.75,0,9800,2900,3900,2.0,1800,360,0,0,2,2,2,2,,330000,1,1,3,3,1,,75000,0.47,1,1,2,5,2,5,5,5,2,5,1,5,2,5,65-74,45-54,Yes,No,1,1
2024,14460,GA,1350.0,13135002100.0,USDA-guaranteed:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Female,Loan originated,1,185000,1.02,6.75,0,0,6500,2200,3000,0,1000,360,0,0,2,2,2,2,,180000,1,1,3,3,1,,48000,0.33,1,1,1,5,2,5,3,5,2,5,2,5,2,5,35-44,35-44,No,No,1,1
2024,33100,MI,0750.0,26075004500.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,Loan originated,1,225000,0.82,6.125,1.5,0,5800,1600,2400,1.0,800,360,0,0,2,2,2,2,,275000,1,1,3,3,1,,65000,0.28,1,1,2,5,2,5,2,5,2,5,2,5,2,5,45-54,45-54,No,No,1,1
2024,42680,PA,0450.0,42045030200.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan originated,1,395000,0.75,6.0,1.25,0,6800,1900,2900,0.75,1200,360,0,0,2,2,2,2,,525000,1,1,3,3,1,,135000,0.26,1,1,2,5,2,5,5,5,2,5,1,5,2,5,55-64,55-64,No,No,1,1
2024,19740,NC,0630.0,37063002301.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Loan originated,1,315000,0.84,6.625,2.0,0,7600,2200,3200,1.5,1400,360,0,0,2,2,2,2,,375000,1,1,3,3,1,,95000,0.34,1,1,2,5,2,5,5,5,2,5,2,5,2,5,35-44,35-44,No,No,1,1
2024,45300,TN,0930.0,47093010500.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Male,Application withdrawn,1,275000,0.91,7.125,2.5,0,8400,2600,3600,1.75,1600,360,0,0,2,2,2,2,,300000,1,1,3,3,1,,70000,0.41,1,1,1,5,2,5,3,5,2,5,1,5,2,5,25-34,25-34,No,No,1,1
2024,36540,CO,0590.0,08059011203.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan originated,1,485000,0.85,6.75,2.25,0,9200,3100,4100,1.75,1800,360,0,0,2,2,2,2,,570000,1,1,3,3,1,,125000,0.32,1,1,2,5,2,5,5,5,2,5,1,5,2,5,35-44,35-44,No,No,1,1
2024,41180,OH,0250.0,39025007800.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,Loan originated,1,165000,0.88,7.0,2.0,0,6200,2000,2800,1.5,1000,360,0,0,2,2,2,2,,185000,1,1,3,3,1,,48000,0.38,1,1,2,5,2,5,3,5,2,5,2,5,2,5,45-54,45-54,No,No,1,1
2024,38900,NJ,0030.0,34003001700.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,Loan originated,1,625000,0.8,5.875,1.5,0,10500,4200,5200,2.0,2800,360,0,0,2,2,2,2,,780000,1,1,3,3,1,,185000,0.24,1,1,2,5,2,5,2,5,2,5,1,5,2,5,45-54,35-44,No,No,1,1
2024,28140,MA,0090.0,25009070200.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,File closed for incompleteness,1,485000,0.9,6.875,2.5,0,10800,3600,4600,2.25,2000,360,0,0,2,2,2,2,,540000,1,1,3,3,1,,120000,0.39,1,1,2,5,2,5,5,5,2,5,2,5,2,5,35-44,25-34,No,No,1,1
2024,17980,NV,0030.0,32003021205.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,Loan originated,1,410000,0.93,7.25,3.0,0,11400,4100,5100,2.5,2200,360,0,0,2,2,2,2,,440000,1,1,3,3,1,,98000,0.44,1,1,1,5,2,5,5,5,2,5,1,5,2,5,25-34,25-34,No,No,1,1
