activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,35620,CA,37.0,3708401201.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,Loan originated,1,485000,0.85,7.125,2.75,0,8500,3500,2800,1.25,1200,360,0,0,2,2,2,2,,570000,1,1,3,3,1,,135000,0.38,1,1,2,2,1,1,2,2,1,1,1,1,1,1,35-44,30-34,No,No,1
2024,16980,IL,31.0,3181600300.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Female,Loan originated,1,315000,0.96,6.875,2.5,0,9500,4200,3200,1.5,800,360,0,0,2,2,2,2,,328000,1,1,3,3,1,,78000,0.42,1,3,1,5,1,3,3,5,1,3,1,1,1,3,25-34,9999,No,,1
2024,38060,TX,141.0,48113021202.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Application denied,1,425000,0.78,7.375,3.25,0,,,,,545000,1,1,3,3,1,,,0.52,1,5,2,5,1,5,5,5,1,5,1,1,1,5,45-54,9999,No,,1,1,,,,,,,,
2024,12060,AZ,13.0,4013039701.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan originated,1,385000,0.92,5.75,1.25,0,7200,2800,2200,0.75,1500,360,0,0,2,2,2,2,,418000,1,1,3,3,1,,98000,0.34,1,1,2,2,1,1,5,2,1,1,1,1,1,1,30-44,28-32,No,No,1
2024,14460,MA,25.0,25025030102.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Loan originated,32,75000,0.65,8.125,4.125,0,3200,1500,1100,2.5,400,180,0,0,2,2,2,2,,115000,1,1,3,3,1,,,0.29,1,5,2,5,1,5,5,5,1,5,1,1,1,5,55-64,9999,Yes,,1
2024,19100,FL,86.0,12086021003.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,Loan originated,1,295000,0.88,7.5,3.0,0,7800,3300,2600,1.75,900,360,0,0,2,2,2,2,,335000,1,1,3,3,1,,,0.41,1,1,1,1,1,1,5,5,1,1,1,1,1,1,35-44,32-38,No,No,1
2024,19740,WA,33.0,53033021004.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,Application withdrawn,1,625000,0.82,6.625,2.125,0,,,,,760000,1,1,3,3,1,,,0.37,1,5,2,5,1,5,2,5,1,5,1,1,1,5,28-34,9999,No,,1,1,,,,,,,,
2024,26420,MI,99.0,2616355100.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,Loan originated,1,195000,0.95,6.75,2.25,0,6800,2900,2300,1.25,1100,360,0,0,2,2,2,2,,205000,1,1,3,3,1,,,0.48,1,3,2,3,1,3,3,3,1,3,1,1,1,3,25-34,9999,No,,1
2024,33100,OH,35.0,39035000201.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan originated,1,275000,0.75,6.5,1.75,0,5900,2400,1900,0.875,1300,360,0,0,2,2,2,2,,366000,1,1,3,3,1,,,0.31,1,1,2,2,1,1,5,2,1,1,1,1,1,1,45-54,42-48,No,No,1
2024,42660,NC,63.0,37183010305.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,File closed for incompleteness,1,415000,,,,0,,,,,485000,1,1,3,3,1,,,0.39,1,5,2,5,1,5,5,5,1,5,1,1,1,5,38-9999,9999,No,,1,1,,,,,,,,
2024,12060,AZ,13.0,4013041102.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Male,Loan originated,1,365000,0.8,7.0,2.5,0,7100,3100,2500,1.5,1000,360,0,0,2,2,2,2,,456000,1,1,3,3,1,,,0.35,1,1,2,2,1,1,7,2,1,1,1,1,1,1,30-44,28-32,No,No,1
2024,41860,NY,81.0,36119010002.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan originated,32,125000,0.55,8.25,4.75,0,4200,1900,1400,3.0,600,240,0,0,2,2,2,2,,227000,1,1,3,3,1,,,0.27,1,5,2,5,1,5,5,5,1,5,1,1,1,5,55-64,9999,Yes,,1
2024,45300,OR,51.0,41067001501.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Application denied,1,495000,0.83,7.125,2.875,0,,,,,595000,1,1,3,3,1,,,0.44,1,5,2,5,1,5,5,5,1,5,1,1,1,5,40-9999,9999,No,,1,1,,,,,,,,
2024,38900,PA,29.0,42029030200.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,American Indian or Alaska Native,Male,Loan originated,1,235000,0.89,6.875,2.375,0,6400,2700,2100,1.25,1200,360,0,0,2,2,2,2,,264000,1,1,3,3,1,,,0.46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25-34,22-28,No,No,1
2024,29820,MO,89.0,29189011203.0,VA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,Loan originated,1,285000,0.93,5.875,1.375,0,6900,2900,2300,1.0,1400,360,0,0,2,2,2,2,,306000,1,1,3,3,1,,,0.33,1,1,2,3,1,1,3,3,1,1,1,1,1,1,35-44,9999,No,,1
2024,49180,WI,79.0,55079004103.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Loan originated,1,225000,0.77,6.25,1.5,0,5200,2200,1700,0.75,1100,360,0,0,2,2,2,2,,292000,1,1,3,3,1,,,0.29,1,1,2,2,1,1,5,2,1,1,1,1,1,1,28-34,26-30,No,No,1
2024,12540,GA,135.0,13135002803.0,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,Loan originated,1,345000,0.96,6.625,2.125,0,8100,3500,2800,1.75,800,360,0,0,2,2,2,2,,360000,1,1,3,3,1,,,0.4,1,1,2,2,1,1,2,2,1,1,1,1,1,1,30-39,28-34,No,No,1
2024,41180,NJ,3.0,34003007001.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Application approved but not accepted,1,525000,0.79,6.75,2.25,0,,,,,665000,1,1,3,3,1,,,0.36,1,5,2,5,1,5,5,5,1,5,1,1,1,5,42-48,9999,No,,1,1,,,,,,,,
2024,19740,WA,33.0,53033008005.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan originated,1,685000,0.74,6.375,1.875,0,9200,4100,3300,2.0,1800,360,0,0,2,2,2,2,,925000,1,1,3,3,1,,,0.28,1,1,2,2,1,1,5,2,1,1,1,1,1,1,40-49,38-44,No,No,1
2024,24340,LA,22.0,22033004100.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Female,Loan originated,1,195000,0.91,7.25,3.0,0,6700,2900,2300,1.5,700,360,0,0,2,2,2,2,,214000,1,1,3,3,1,,,0.45,1,1,1,3,1,1,3,3,1,3,1,1,1,3,28-34,9999,No,,1
2024,35620,CA,37.0,3711001600.0,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,Loan originated,32,95000,0.45,8.5,4.5,0,3800,1700,1200,2.75,500,180,0,0,2,2,2,2,,211000,1,1,3,3,1,,,0.22,1,5,2,5,1,5,5,5,1,5,1,1,1,5,60-65,9999,Yes,,1
2024,38060,TX,141.0,48113010901.0,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,Loan originated,1,375000,0.86,7.125,2.625,0,7600,3300,2600,1.75,1100,360,0,0,2,2,2,2,,436000,1,1,3,3,1,,,0.38,1,1,2,2,1,1,5,2,1,1,1,1,1,1,32-38,30-36,No,No,1
