activity_year,derived_msa-md,state_code,county_code,census_tract,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,loan_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution
2024,16980,CA,6075,06075020100,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Male,1,1,485000,80,6.75,2.1,0,8500,3500,2800,1500,1200,360,NA,NA,2,2,2,2,NA,606250,1,1,NA,NA,1,NA,125000,38,1,1,2,2,1,1,2,2,1,1,1,2,1,1,45,42,2,2,1,1
2024,35620,TX,1410,48141000300,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Female,1,1,320000,85,7.0,2.3,0,7200,2800,2500,1200,1000,360,NA,NA,2,2,2,2,NA,376471,1,1,NA,NA,1,NA,85000,42,1,1,1,1,1,1,5,5,1,1,2,2,1,1,38,40,2,2,1,1
2024,31080,NY,8101,36081001100,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Male,1,1,425000,92,6.5,NA,0,9500,4200,3200,1800,500,360,NA,NA,2,2,2,2,NA,461957,1,1,NA,NA,2,NA,110000,45,1,1,2,2,1,1,3,3,1,1,1,2,1,1,50,48,1,2,1,1
2024,26420,OH,3900,39001003200,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,65000,75,8.25,NA,1,3800,1800,1500,800,300,180,NA,NA,2,2,2,2,NA,86667,1,1,NA,NA,1,NA,58000,28,1,NA,2,5,1,3,5,5,1,1,2,5,1,3,55,9999,1,9999,1,1
2024,19100,FL,8055,12055000201,VA:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,White,Male,1,1,295000,90,6.25,NA,0,6800,2900,2300,1000,800,360,NA,NA,2,2,2,2,NA,327778,1,1,NA,NA,1,NA,75000,40,1,NA,1,5,1,3,5,5,1,3,1,5,1,3,32,9999,2,9999,1,1
2024,41860,WA,5300,53033012100,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,750000,70,5.875,1.8,0,12000,4800,3800,2200,2000,360,NA,NA,2,2,2,2,NA,1071429,1,1,NA,NA,1,NA,180000,32,1,1,2,2,1,1,5,5,1,1,2,2,1,1,41,39,2,2,1,1
2024,38060,TX,4811,48411010202,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,1,510000,78,6.625,2.0,0,9800,3900,3100,1600,1400,360,NA,NA,2,2,2,2,NA,653846,1,1,NA,NA,1,NA,135000,35,1,1,2,2,1,1,2,2,1,1,2,2,1,1,44,46,2,2,1,1
2024,12060,AZ,4013,04013081405,FSA/RHS:First Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,American Indian or Alaska Native,Male,1,1,185000,95,7.5,NA,0,5200,2200,1800,700,400,360,NA,NA,2,2,2,2,NA,194737,1,1,NA,NA,1,NA,48000,48,1,NA,1,5,1,3,1,5,1,3,1,5,1,3,29,9999,2,9999,1,1
2024,14460,WA,5300,53033020500,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Male,1,1,890000,65,5.5,1.5,0,14500,5500,4200,2800,2500,360,NA,NA,2,2,2,2,NA,1369231,1,1,NA,NA,1,NA,220000,28,1,1,2,2,1,1,4,2,1,1,1,2,1,1,52,50,1,2,1,1
2024,33100,NC,3710,37011010301,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,365000,82,6.875,2.2,0,8100,3300,2600,1300,1100,360,NA,NA,2,2,2,2,NA,445122,1,1,NA,NA,1,NA,95000,36,1,1,2,2,1,1,5,5,1,1,2,2,1,1,37,35,2,2,1,1
2024,19740,GA,1312,13121020800,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Hispanic or Latino,Black or African American,Female,1,1,45000,60,9.0,NA,1,2800,1300,1100,500,200,180,NA,NA,2,2,2,2,NA,75000,1,1,NA,NA,1,NA,42000,25,1,NA,1,5,1,3,3,5,1,3,2,5,1,3,26,9999,2,9999,1,1
2024,38900,CO,8059,08059012403,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,1,615000,75,6.125,1.9,0,10500,4100,3200,1900,1600,360,NA,NA,2,2,2,2,NA,820000,1,1,NA,NA,1,NA,150000,30,1,1,2,2,1,1,5,5,1,1,1,2,1,1,48,45,1,2,1,1
2024,38060,TX,4811,48411002305,FHA:First Lien,Manufactured Home,Not Hispanic or Latino,White,Male,1,1,125000,90,7.25,NA,0,4800,2000,1600,600,400,240,NA,NA,2,2,2,2,NA,138889,2,1,2,3,1,NA,55000,43,1,NA,2,5,1,3,5,5,1,3,1,5,1,3,34,9999,2,9999,1,1
2024,16980,CA,6075,06075040102,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Asian,Female,1,1,920000,68,5.75,1.4,0,15800,6200,4800,3100,2800,360,NA,NA,2,2,2,2,NA,1352941,1,1,NA,NA,1,NA,250000,26,1,1,2,2,1,1,2,2,1,1,2,2,1,1,39,37,2,2,1,1
